"Provincia","Poblacion","Sup.[km2]"
"Misiones",1280960,29801
"San Luis",540905,76748
"San Juan",818234,89651
"Entre Rios",1426426,78781
"Santa Cruz",333473,243943
"Rio Negro",792067,203013
"Chubut",603120,224686
"Cordoba",3978984,165321
"Mendoza",2014533,148827
"La Rioja",384607,89680
"Catamarca",429556,102602
"La Pampa",366022,143440
"Santiago del Estero",1054028,136351
"Corrientes",1197553,88199
"Santa Fe",3556522,133007
"Tucuman",1703186,22524
"Neuquen",726590,94078
"Salta",1440672,155488
"Chaco",1142963,99633
"Formosa",606041,72066
"Jujuy",797955,53219
"Ciudad de Buenos Aires",3120612,203
"Buenos Aires",17569053,307368
"Tierra del Fuego",190641,21571
