,Year,Trimester,ADSL,Cablemodem,Optical Fiber,Wireless,Others,Total,date,FB_ADSL_ratio
0,2022,3,1395277,6031970,2871541,55711,23523,11091128,2022-07-01,2.0580436716150268
1,2022,2,1468333,5979214,2723285,556243,231609,10958684,2022-04-01,1.8546780600858253
2,2022,1,1533240,6073426,2219533,545814,251996,10624009,2022-01-01,1.4476096371083458
3,2021,4,1657615,5984240,2072236,523107,252596,10489794,2021-10-01,1.2501310617966175
4,2021,3,1950631,5826257,1566048,492415,25019,10085541,2021-07-01,0.8028417471064492
5,2021,2,2018587,5641731,1472246,476968,253552,9863084,2021-04-01,0.7293448337871987
6,2021,1,2175211,5424782,1362976,434548,250455,9647972,2021-01-01,0.6265948452816761
7,2020,4,2213949,5371824,1311199,421554,253036,9571562,2020-10-01,0.5922444464619555
8,2020,3,2263889,5259351,1170879,413259,248821,9356199,2020-07-01,0.5171980605056167
9,2020,2,2295533,5005115,1106725,376667,247016,9031056,2020-04-01,0.4821211457208413
10,2020,1,2299457,4903674,1047817,352333,209145,8812426,2020-01-01,0.4556801888445837
11,2019,4,2414575,4883869,941295,340144,213298,8793181,2019-10-01,0.3898387915057515
12,2019,3,2909805,4800091,852221,338241,264326,9164684,2019-07-01,0.2928790760892912
13,2019,2,2990457,4635575,760794,308027,265328,8960181,2019-04-01,0.254407269524357
14,2019,1,3132789,4435439,637099,276419,166389,8648135,2019-01-01,0.20336479731000076
15,2018,4,3329027,4313831,388013,264299,178485,8473655,2018-10-01,0.11655447672848553
16,2018,3,3521447,4238171,247366,246181,9387,8347035,2018-07-01,0.07024555530723592
17,2018,2,3557216,4038141,226285,194267,94535,8110444,2018-04-01,0.06361294900281568
18,2018,1,3574294,3981129,217460,1653,9887,8037053,2018-01-01,0.06083998686174109
19,2017,4,3584311,3818157,211425,155775,100554,7870222,2017-10-01,0.0589862319424849
20,2017,3,3622575,3670221,193964,106443,13174,7724943,2017-07-01,0.0535431288517146
21,2017,2,3723518,3383434,180777,85813,56122,7429664,2017-04-01,0.04855005400806442
22,2017,1,3708898,3276251,180146,84813,55746,7305854,2017-01-01,0.048571300693629214
23,2016,4,3722794,3210602,178070,85119,55088,7251673,2016-10-01,0.04783235387185002
24,2016,3,3776442,3124855,169898,81455,543,7206950,2016-07-01,0.04498890754842786
25,2016,2,3782085,3035272,167788,85452,59482,7130079,2016-04-01,0.04436388923041127
26,2016,1,3792493,2806359,164371,8537,58763,6907356,2016-01-01,0.04334114789401061
27,2015,4,3803024,2898226,139187,85726,58668,6984831,2015-10-01,0.03659903276971168
28,2015,3,3788696,2840203,162663,8453,58976,6935068,2015-07-01,0.04293376929687681
29,2015,2,3767821,2756294,150839,82077,59157,6816188,2015-04-01,0.04003348354393693
30,2015,1,3756153,2668248,168188,79098,66045,6737732,2015-01-01,0.044776663783397536
31,2014,4,3764038,2536219,149682,76984,71573,6598496,2014-10-01,0.03976633604655426
32,2014,3,3714764,2569868,155494,85096,70049,6595271,2014-07-01,0.041858379159483615
33,2014,2,3708882,2461670,149363,72405,72148,6464468,2014-04-01,0.040271704519043744
34,2014,1,3697066,2407330,150323,70749,7293,6398398,2014-01-01,0.040660080182501473
